#,Date,Author,Publication,Title,First Paragraph,Anti-Semitic,Not Anti-Semitic,Anti-Israel,Anti-Palestinian,Not Anti-Palestinian,Anti-Hamas,Op-Ed,Anti-Semtic Reason1,Anti-Semtic Reason2,title_word_count,First_Para_word_count,Title_Sentiment,First800_Sentiment,Last4Sent_Sentiment,Netanyahu_FirstPara_Sentiment,Bibi_FirstPara_Sentiment,Hamas_FirstPara_Sentiment,Israel_FirstPara_Sentiment,Palestinian_FirstPara_Sentiment,Gaza_FirstPara_Sentiment,Ceasefire_FirstPara_Sentiment,Trump_FirstPara_Sentiment
11,45715,Bret Stephens,The New York Times,Earth to Barnard College: Enough,The pro-Palestinian mob is back in Manhattan’s Morningside Heights. So are the Hamas-friendly chants of “intifada revolution” and posts about “resistance until return.” So is the bullying and violence.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,29,0.489,0.065,0.065,0.5,0.5,0.046,0.5,0.289,0.5,0.5,0.5
12,45699,Bret Stephens,The New York Times,The Horror Show of Hamas Must End Now,"On Saturday, Hamas gunmen paraded three skeletally thin Israeli hostages for a propaganda video in which they were forced to thank their captors before their handover to the Red Cross. One of the hostages, Eli Sharabi, returned to Israel to learn that his wife, Lianne, and their teenage daughters, Noiya and Yahel, had been murdered on Oct. 7.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,58,0.052,0.135,0.135,0.5,0.5,0.156,0.095,0.5,0.5,0.5,0.5
13,45672,Bret Stephens,The New York Times,The Israeli Right May Soon Be Disenchanted With Trump,"The most interesting detail of the hostage and cease-fire deal that Israeli and Hamas officials agreed to on Wednesday lies neither in its terms, which mainly resemble what’s been on the table for months, nor in the fact that Benjamin Netanyahu, Israel’s prime minister, is effectively acquiescing to Hamas’s continued grip on power in the Gaza Strip after loudly and repeatedly vowing he wouldn’t.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,64,0.093,0.411,0.411,0.411,0.5,0.411,0.411,0.5,0.411,0.5,0.5
14,45634,Bret Stephens,The New York Times,Syrians Also Have Israel to Thank for Their Liberation,Things could still go badly for Syria following the abrupt downfall of Bashar al-Assad on Saturday and the end of 54 years of ruinous Assad family rule.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,27,0.504,0.056,0.056,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15,45608,Bret Stephens,The New York Times,A Worldwide ‘Jew Hunt’,"If any doubts remained about the motives of the Amsterdam thugs who last week terrorized and assaulted Israeli soccer fans in droves, an investigation in The Wall Street Journal should settle the questions.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,33,0.353,0.173,0.173,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16,45583,Bret Stephens,The New York Times,Sinwar’s Death Is a Tricky Opportunity,"Reading the news that Yahya Sinwar, Hamas’s pitiless leader, had been killed on Wednesday by Israeli forces in southern Gaza, I had the same sense of elation so many people felt when Osama bin Laden was killed. To take satisfaction in the violent end of another human being, even an enemy, is almost always wrong, but there are exceptions. Sinwar’s death — like bin Laden’s in 2011 or Abu Bakr al-Baghdadi’s in 2019 or Hassan Nasrallah’s last month — is among them.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,82,0.156,0.061,0.061,0.5,0.5,0.081,0.5,0.5,0.081,0.5,0.5
17,45573,Bret Stephens,The New York Times,We Should Want Israel to Win,"The world had better hope that Israel wins its wars against Hamas, Hezbollah, the Houthis and their masters in Tehran. By “wins,” I mean that Israel inflicts such costs on its enemies’ capacity to wage war that they accept that their interests, irrespective of their desires, are no longer served by fighting.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,52,0.613,0.192,0.192,0.5,0.5,0.277,0.192,0.5,0.5,0.5,0.5
18,45569,Bret Stephens,The New York Times,The Year American Jews Woke Up,"American Jews were aware, before the pogrom of Oct. 7, 2023, that antisemitism was once again a problem in our collective life. We were aware, if we belonged to a synagogue or worked out at a local Jewish Community Center or sent children to Jewish day schools, that squad cars were often present outside and that the security procedures and budgets of Jewish institutions kept growing. We were aware that, in Williamsburg and other Hasidic neighborhoods in Brooklyn, Jews were being routinely shoved and sucker-punched by local bullies. We were aware of the white supremacists chanting “Jews will not replace us” in Charlottesville, Va., and of the far-right murderers who stormed synagogues in Pittsburgh and Poway, Calif., and of Marjorie Taylor Greene’s obsession with Rothschild space lasers, and of Donald Trump inviting Kanye West to Mar-a-Lago after the rapper had threatened to go “death con 3” on “JEWISH PEOPLE.”",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,149,0.426,0.127,0.13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.106
19,45566,Bret Stephens,The New York Times,We Absolutely Need to Escalate in Iran,"Long before he met with his overdue demise last week, Hassan Nasrallah, the leader of Hezbollah, offered a theological explanation for why Israel had come into existence. “The Jews will gather from all parts of the world into occupied Palestine,” he said in a 2002 speech, of which there is an audio recording. “Not in order to bring about the Antichrist and the end of the world, but rather that Allah the glorified and most high wants to save you from having to go to the ends of the world, for they have gathered in one place — they have gathered in one place — and there the final and decisive battle will take place.”",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,115,0.204,0.459,0.459,0.5,0.5,0.5,0.388,0.5,0.5,0.5,0.5
20,45559,Bret Stephens,The New York Times,Hezbollah Is Everyone’s Problem,"In 2006 Hezbollah launched a guerrilla raid into Israel. It led to a 34-day war that devastated Lebanon, traumatized Israel, and concluded with a U.N. resolution that was supposed to disarm the terrorist militia and keep its forces far from the border.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,42,0.053,0.068,0.068,0.5,0.5,0.5,0.068,0.5,0.5,0.5,0.5
21,45538,Bret Stephens,The New York Times,A Hostage Deal Is a Poison Pill for Israel,"Since the days of Abraham — who, according to Genesis, rescued his nephew Lot after he’d been seized by an invading army — Jewish tradition has placed supreme value on the redemption of captives. It is, in a sense, the fulfillment of a primary, implicit commandment: to be one’s brother’s keeper. It is also a source of Jewish communal cohesion over millenniums to never forsake those who have been taken, even if only to give them a proper burial.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,79,0.054,0.626,0.626,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22,45517,Bret Stephens,The New York Times,Naftali Bennett Needs to Topple Two Regimes,The last time I’d met with Naftali Bennett was at his home north of Tel Aviv not long after the attacks of Oct. 7 and just before Israel’s army went into Gaza. The former Israeli prime minister was worried about a blood bath. He also had a plan to avoid it.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,51,0.462,0.36,0.36,0.5,0.5,0.5,0.454,0.5,0.454,0.5,0.5
23,45503,Bret Stephens,The New York Times,Israel’s Five Wars,"The world will soon know the full shape and scale of Israel’s response to Hezbollah for Saturday’s rocket attack on a Druze town in the Golan Heights, which killed 12 children. But it’s not too soon to ask what purpose the expected retaliation will serve in the context of Israel’s five wars.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,52,0.324,0.277,0.277,0.5,0.5,0.5,0.277,0.5,0.5,0.5,0.5
24,45475,Bret Stephens,The New York Times,What Would a Better Israeli Prime Minister Do?,"A better Israeli prime minister than Benjamin Netanyahu would immediately hold an election. Israelis deserve a government they believe can bring them out of crisis, not one that got them into this crisis. If that government is still led by Netanyahu, at least he would have an honest mandate, and dissenting Israelis would have fewer reasons to protest him. It would also give the prime minister more authority over a military that seems to think that it can openly oppose the views of its civilian masters.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,86,0.494,0.496,0.496,0.311,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25,45468,Bret Stephens,The New York Times,Should American Jews Abandon Elite Universities?,"The notable fact about the anti-Israel campus demonstrations is that they are predominantly an elite phenomenon. Yes, there have been protests at big state schools like the University of Nebraska, but they have generally been small, tame and — thanks to administrators prepared to enforce the rules — short-lived. It’s Stanford, Berkeley, Yale, Penn, Harvard, Columbia and many of their peers that have descended to open bigotry, institutional paralysis and mayhem.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,71,0.29,0.226,0.226,0.5,0.5,0.5,0.254,0.5,0.5,0.5,0.5
26,45433,Bret Stephens,The New York Times,Who’s in More Trouble: Israel or Iran?,"An astute friend recently observed that today’s crisis in the Middle East boils down to one question about two dates: Which historic moment is likelier to be reversed: 1948 or 1979? The dates are references to the creation of the state of Israel and, 31 years later, the Iranian revolution. The implication of the question is that it’s one or the other: The Jewish state and the Islamic republic cannot permanently coexist, at least so long as the latter seeks to destroy the former. Recent days have brought two potential vehicles for their downfall into focus.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,96,0.263,0.401,0.401,0.5,0.5,0.5,0.503,0.5,0.5,0.5,0.5
27,45426,Bret Stephens,The New York Times,What a ‘Free Palestine’ Means in Practice,"Imagine that the campus protesters got their wish tomorrow: Not just “Cease-fire Now” in Gaza, but the creation of a “Free Palestine.” How free would that future Palestine be?",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,29,0.478,0.67,0.67,0.5,0.5,0.5,0.5,0.5,0.67,0.5,0.5
28,45421,Bret Stephens,The New York Times,President Biden Just Made His Biggest Blunder,"In announcing that the United States will pause delivery of 3,500 bombs to Israel, President Biden has the laudable motive of wanting to spare innocent Palestinians from the military consequences of Hamas using Rafah as its last stronghold in Gaza. Less laudably, but no less understandably, he also needs to shore up support among progressive voters who think that Israel’s use of American weapons implicates us in war crimes.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,69,0.215,0.38,0.38,0.5,0.5,0.363,0.38,0.5,0.363,0.5,0.5
29,45419,Bret Stephens,The New York Times,A Thank-You Note to the Campus Protesters,"Though it may take a few years before you realize it, supporters of Israel like me have reasons to give thanks to militant anti-Zionists like you.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,26,0.613,0.424,0.424,0.5,0.5,0.5,0.424,0.5,0.5,0.5,0.5
30,45405,Bret Stephens,The New York Times,To Be (Visibly) Jewish in the Ivy League,"Netanel Crispe, from Danby, Vt., is a 21-year-old junior studying American history at Yale. He is also, to his knowledge, the university’s only Hasidic undergraduate. When he chose Yale, he told me this week, he was “looking for an institution that asserted its position in terms of maintaining and protecting free expression while not backing down on its principal values.”",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,60,0.535,0.621,0.621,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
31,45398,Bret Stephens,The New York Times,The Assault on American Jews Is Getting Worse,"Ten years ago, the Anti-Defamation League released its annual audit of antisemitic incidents in the United States. The group reported just 751 incidents targeting Jews in 2013, a 19 percent drop from the previous year.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,35,0.036,0.214,0.214,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
32,45396,Bret Stephens,The New York Times,"For Israel, Revenge Should Be a Dish Served Cold","After several days during which Supreme Leader Ali Khamenei repeatedly vowed that “the evil Zionist regime” would be punished for its April 1 attack on Iran’s embassy complex in Damascus that killed seven Iranian military advisers, including three top commanders, the Islamic Republic struck. More than 300 drones and missiles launched from Iranian soil took aim at Israel on Saturday. Nearly all of them were intercepted, mainly by Israeli or American defenses, with a report of just one Israeli casualty, a girl from a Bedouin community wounded by shrapnel.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,89,0.076,0.107,0.107,0.5,0.5,0.5,0.253,0.5,0.5,0.5,0.5
33,45391,Bret Stephens,The New York Times,Netanyahu Must Go,"Israel must destroy Hamas as a military and political force in the territory while minimizing harm to civilians. It must do what it can to rescue its hostages without jeopardizing the overriding goal of destroying Hamas. It must, by diplomacy or force, push Hezbollah back from Lebanon’s southern border, so that 60,000 Israelis can return safely to their homes in the north. It must take the battle directly, as it did last week in Damascus, to Hamas’s and Hezbollah’s patrons, whether in Syria, Qatar or Iran.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,86,0.076,0.268,0.268,0.5,0.5,0.217,0.134,0.5,0.5,0.5,0.5
34,45384,Bret Stephens,The New York Times,The Appalling Tactics of the ‘Free Palestine’ Movement,"Last week, Susanne DeWitt, an 89-year-old Holocaust survivor who later became a molecular biologist, spoke before the Berkeley, Calif., City Council to request a Holocaust Remembrance Day proclamation. After taking note of a “horrendous surge in antisemitism,” she was then heckled and shouted down by protesters at the meeting when she mentioned the massacre and rapes in Israel of Oct. 7.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,61,0.074,0.247,0.247,0.5,0.5,0.5,0.056,0.5,0.5,0.5,0.5
35,45372,Bret Stephens,The New York Times,"Directing a Movie Doesn’t Make You a Mideast Authority
Image",In 1978 the English actress Vanessa Redgrave won an Oscar for her role in the film “Julia” and used the occasion to denounce “a small bunch of Zionist hoodlums whose behavior is an insult to the stature of Jews everywhere.”,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,40,0.274,0.471,0.471,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
36,45370,Bret Stephens,The New York Times,An Arab Mandate for Palestine,"Hamas’s leaders hope that when it does, they will emerge from their tunnels to raise their green banners over the rubble — a symbolic victory for “Resistance” in the face of the misery they sowed on Oct. 7.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,38,0.504,0.436,0.436,0.5,0.5,0.436,0.5,0.5,0.5,0.5,0.5
37,45366,Bret Stephens,The New York Times,Schumer’s Blast at Netanyahu Might Have an Unintended Effect,"I also want to see Netanyahu go, at least once the Gaza war is over. Bibi — as the prime minister is universally known — is a failed leader who divided and debilitated Israel for nearly a year with a self-serving judicial reform bill before the disaster of Oct. 7. If he had any sense of personal accountability, as Israeli leaders like Golda Meir and Menachem Begin did after their own military fiascos, he’d resign.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,75,0.263,0.045,0.045,0.092,0.033,0.5,0.033,0.5,0.092,0.5,0.5
38,45363,Bret Stephens,The New York Times,Israel Has No Choice but to Fight On,"On Saturday, President Biden warned that Benjamin Netanyahu’s approach to the war in Gaza was “hurting Israel more than helping Israel.” The Israeli prime minister replied the next day that Biden was “wrong.” The rift between the two leaders means that Israel risks losing its most important pillar of military and diplomatic support.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,53,0.216,0.082,0.082,0.082,0.5,0.5,0.082,0.5,0.082,0.5,0.5
39,45328,Bret Stephens,The New York Times,Settler Colonialism: A Guide for the Sincere,"A former colleague of mine liked to say that there are certain ideas that vanish in the presence of thought. Among those ideas is settler colonialism — or rather, the invidious, hypocritical and historically illiterate way in which it is often denounced in anti-Israel polemics and protests.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,47,0.465,0.169,0.169,0.5,0.5,0.5,0.071,0.5,0.5,0.5,0.5
40,45321,Bret Stephens,The New York Times,Abolish the U.N.’s Palestinian Refugee Agency,"United Nations agencies and officials are no strangers to scandal and infamy. U.N. peacekeepers caused a cholera epidemic in Haiti and committed horrific sexual abuses in the Democratic Republic of the Congo. The U.N.’s oil-for-food program for Iraq became a multibillion-dollar kickback scheme through which Saddam Hussein all but bribed his way out of international sanctions. In the 1980s, Kurt Waldheim, a former U.N. secretary general, was unmasked as a former Nazi. He was the same secretary general who denounced Israel’s 1976 rescue of Jewish hostages in Entebbe as “a serious violation” of Uganda’s national sovereignty.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,96,0.173,0.1,0.094,0.5,0.5,0.5,0.206,0.5,0.5,0.5,0.5
41,45314,Bret Stephens,The New York Times,The Meaning of Gaza’s Tunnels,"Ever since Israel withdrew its soldiers and settlers from Gaza in 2005, critics have accused it of blockading and immiserating the territory — turning it, as they say, into an open-air prison. The charge was always preposterous. Gaza shares a border with Egypt. Gazans were often treated in Israeli hospitals for cancer and other life-threatening conditions. Israel provided Gaza with much of its electricity and other critical goods even after Hamas came to power in 2007.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,76,0.42,0.082,0.083,0.5,0.5,0.509,0.114,0.5,0.13,0.5,0.5
42,45310,Bret Stephens,The New York Times,"In Davos, Israel’s Hostages Get a Hearing","The annual meeting of the World Economic Forum in Davos, Switzerland, is largely an opportunity for the powerful to mingle with the even more powerful. For the most part, I’ve spent my time here listening to government leaders — Iran’s foreign minister struck me as an exceptionally talented dissembler — and schmoozing with business leaders, think tankers and officials at Davos’s famous private dinners and after-parties.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,66,0.47,0.862,0.862,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
43,45307,Bret Stephens,The New York Times,The Genocide Charge Against Israel Is a Moral Obscenity,"In recent decades, as many as three million people perished in a famine in North Korea that was mainly government-induced. Hundreds of thousands of Syrians were gassed, bombed, starved or tortured to death by the Assad regime, and an estimated 14 million were forced to flee their homes. China has put more than a million Uyghurs through gulag-like re-education camps in a thinly veiled attempt to suppress and erase their religious and cultural identity.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,74,0.079,0.046,0.046,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
44,45279,Bret Stephens,The New York Times,Why I Can’t Stop Writing About Oct. 7,"This will be my last column for the year, and it will be more personal than most. It’s an effort to explain, to myself as much as to readers, why I can’t stop writing about Oct. 7 and its aftermath.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,40,0.327,0.542,0.542,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
45,45272,Bret Stephens,The New York Times,Antisemitism: A Guide for the Perplexed,"In a season of widespread condemnation of antisemitism, many struggle to define it. I can imagine having this conversation with any number of people trying to understand this age-old phenomenon:",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,30,0.224,0.224,0.224,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
46,45268,Bret Stephens,The New York Times,"Campus Antisemitism, Free Speech and Double Standards","The presidents of Harvard, the Massachusetts Institute of Technology and the University of Pennsylvania testified before a House committee on Tuesday about the state of antisemitism on their campuses. It did not go well for them.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,36,0.136,0.079,0.079,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
47,45265,Bret Stephens,The New York Times,Silence Is Violence — but Not When It Comes to Israeli Rape Victims,"On Sunday, CNN’s Dana Bash asked Representative Pramila Jayapal why so many progressive women have been silent about the extensive reports of widespread rape and sexual assault carried out by Hamas against Israeli women during the massacres of Oct. 7.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,40,0.137,0.354,0.354,0.5,0.5,0.354,0.5,0.5,0.5,0.5,0.5
48,45251,Bret Stephens,The New York Times,The ‘Cease-Fire Now’ Imposture,"Of all that’s been said and written about the war between Israel and Hamas, nothing has cut through the mental fog quite so brightly as a remark this month from Hillary Clinton on “The View.” “Remember,” the former secretary of state said, “there was a cease-fire on Oct. 6 that Hamas broke by their barbaric assault on peaceful civilians and their kidnapping, their killing, their beheading, their terrible, inhumane savagery.”",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,70,0.352,0.155,0.155,0.5,0.5,0.155,0.155,0.5,0.5,0.5,0.5
49,45240,Bret Stephens,The New York Times,"In Israel, There Is Grief and There Is Fury. Beneath the Fury, Fear.","I landed in Israel and went straight to a funeral. It was at a small cemetery surrounded by cypress trees and flowering bougainvillea. Being laid to rest were Dana Bachar, a kindergarten teacher, and Carmel, her 15-year-old son, who loved the waves. They were murdered by Hamas terrorists in Kibbutz Be’eri, near Gaza. Carmel was buried with his surfboard while his father, Avida, who had lost a leg in the attack and was in a wheelchair, looked on and wept.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,80,0.182,0.235,0.167,0.5,0.5,0.072,0.123,0.5,0.072,0.5,0.5
50,45237,Bret Stephens,The New York Times,"For America’s Jews, Every Day Must Be Oct. 8","There used to be a sign (which, for all I know, is still there) somewhere in the C.I.A.’s headquarters that read, “Every day is Sept. 12.” It was placed there to remind the agency’s staffers that what they felt right after the attacks of Sept. 11, 2001 — the sense of outrage and purpose, of favoring initiative over caution, of taking nothing for granted — had to be the mind-set with which they arrived to work every day.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,78,0.414,0.517,0.517,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
51,45226,Bret Stephens,The New York Times,A Plan to Defeat Hamas and Avoid a Bloodbath,"On Friday, Israel launched its most intense bombardment yet of Gaza — a probable prelude to a full-scale invasion of the territory, for which Israel has called up more than 300,000 of its reserves. The strategy? Nobody seems to know for sure, and the government isn’t saying. On Monday, The Times reported that the Pentagon had doubts about the readiness of Israel’s forces and whether its objective of eradicating Hamas is even achievable.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,73,0.398,0.116,0.116,0.5,0.5,0.201,0.145,0.5,0.095,0.5,0.5
52,45223,Bret Stephens,The New York Times,The Palestinian Republic of Fear and Misinformation,"Many years ago, when I first started covering the Israeli-Palestinian conflict, I got to know a gifted Palestinian journalist who, for reasons that will become apparent in a moment, I’ll refer to only by his first name, Said. As with many other Palestinian journalists, Said’s primary source of income was working with foreign reporters as a “fixer,” someone who could arrange difficult meetings, translate from Arabic, show you around. Said had an independent streak and he was no fan of Yasir Arafat, which made him particularly helpful in cutting through the Palestinian Authority’s propagandistic bombast.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,95,0.072,0.662,0.662,0.5,0.5,0.5,0.5,0.662,0.5,0.5,0.5
